,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
CA-01,351919,21127,22631,15898,16586,5354,7245,16753,22699,23252,19767,22514,23687,23469,22892,8398,13755,6825,6997,11499,7195,5592,5245,358933,21859,19892,12334,16276,6915,7274,15850,21942,22329,21135,21604,23653,26149,24311,8928,14104,8767,8224,10331,8858,7652,9444,710852,553647,12856,20702,42069,2825,50878,27875,540443,170409,602433,449083,145393,7957,108419,461217,65322,107321,158833,81294,48447,571210,68599,44452,12769,4979,294526,4984,12155,18671,201377,65385,9836,461217,38908,13555,6032,5419,42386,15031,5500,2910,113949,261847,16392,18970,17944,17869,12811,13702,12951,13338,11006,20617,27156,28540,20042,9292,11052,10165,48003,11617,27954,48183,76581,167827,289125,51127,501745,,,,,,,,184421,22355,13316,1019,3056,300223,261847,38376,261847,154148,107699,154148,102484,51664,107699,1002,154148,1816,1207,783,1089,1450,1206,1059,2441,1069,947,1861,2560,1439,4792,2979,6041,4839,13998,14788,28539,19785,21302,9574,8584,1366,2010
CA-02,351988,25766,22092,14340,12426,7654,4948,15000,23619,22612,21266,18919,22296,24948,23773,8605,12954,6721,8504,13084,8753,6363,4793,355935,22175,24932,13126,10391,5435,4440,16551,20369,20771,20736,19237,24421,24998,23785,9584,14707,6347,9729,14340,9941,9179,9071,707923,575773,8706,10783,31128,2208,41877,37448,574437,133486,632547,461953,165047,5547,75376,464425,71054,116407,182033,64447,30484,561019,93833,35443,7478,2312,262127,2746,8266,13741,197436,57205,5539,464425,32712,8995,3562,2149,31735,11890,2993,895,131940,265627,18540,20420,19956,17732,17114,16316,15631,14903,12011,21481,27637,29976,15268,6886,6966,4790,42249,11018,25717,42508,66116,132901,218838,62805,474571,,,,,,,,155975,17545,14632,622,2806,303627,265627,38000,265627,166658,98969,166658,107755,58903,98969,853,166658,3200,2325,1836,1432,1492,821,598,891,1855,1693,2257,3336,2993,9814,9724,14568,13174,26394,20355,24462,9455,8522,2499,2962,1079,2010
CA-03,397061,27858,28002,19746,11168,5807,5361,15776,26192,26673,25084,28883,31860,29958,23641,10183,12649,6921,7614,11422,8037,5394,4750,393862,24073,25778,16383,10170,5851,4014,13128,24892,22455,25670,25419,31731,30460,27953,10612,12911,6009,9549,12603,9989,7596,9984,790923,547299,50551,6906,85469,9607,45301,45790,663551,127372,663631,484623,168858,10150,127292,527094,57506,114832,206216,100551,47989,641059,104292,29365,6138,2047,332475,8608,5450,18367,221024,55848,7445,527094,47325,16788,5474,3209,53226,15942,4807,1769,84793,283256,10461,11526,11225,14274,12380,15480,12982,14281,10971,22406,31370,41307,29773,15211,19239,10370,61853,16837,38628,62119,93074,173590,271786,60765,537263,,,,,,,,220012,17405,13671,645,2674,311622,283256,28366,283256,188478,94778,188478,146590,41888,94778,1047,188478,630,845,947,732,849,475,388,675,837,745,1496,1260,971,4800,7054,16168,12889,34388,27582,34068,18295,15440,3960,2984,1713,2010
CA-04,390603,23869,28179,18109,10248,4291,4309,13121,23272,22956,25912,23957,29115,29790,29720,12576,14924,6279,11367,14444,9888,6551,5812,383987,25423,22470,15601,8228,4428,3994,11563,18851,19830,24171,23594,30650,32233,29858,10739,15895,8722,12511,13510,10184,8617,12397,774590,658960,10218,11124,33668,2460,26164,31996,680187,94403,703863,501769,193470,8624,70727,538325,43487,125495,210602,109109,49632,645693,67694,42848,9855,1776,318219,3452,6196,23811,202732,46621,7784,538325,53438,19272,5640,3614,55671,15025,4539,1542,84922,291466,14622,14719,13479,15040,13549,12714,13789,13549,9720,23264,28852,40254,29544,15798,18216,14357,60629,14191,35897,61030,93740,181568,287601,71824,526079,,,,,,,,206139,16501,13028,1056,2768,359479,291466,68013,291466,208415,83051,208415,151881,56534,83051,1042,208415,1762,1421,1243,540,547,835,916,943,1125,1969,825,910,1995,4318,3626,7738,7488,20967,26688,50282,30592,27325,8537,5823,1695,2010
CA-05,335437,25238,24154,14462,11133,5976,4985,15550,28640,25137,22478,22751,21670,21492,16434,5953,11051,3835,5571,7066,5940,4789,3850,358716,25821,22776,16024,10744,7036,5579,15462,29764,27526,23371,24123,21844,23359,21443,7355,9369,5784,7215,9436,7469,7495,6162,694153,368746,93622,7649,118290,6149,53434,46263,505736,188417,543847,406396,126988,10463,150306,438372,83935,96587,150371,71247,36232,523817,119421,27991,10717,3147,271015,10660,6696,13051,204366,52059,10972,438372,34255,10453,3345,3210,36992,13741,3652,1831,155447,257560,19873,21802,15812,15565,14851,15078,14203,13823,11920,21082,26536,28635,16119,10412,6523,5326,43953,10068,26248,44207,69097,140896,231488,45113,469224,,,,,,,,176996,12074,11062,536,5189,282678,257560,25118,257560,125178,132382,125178,91309,33869,132382,940,125178,1229,762,674,556,249,448,765,904,1342,1855,2262,3054,3594,10341,9914,13048,9879,17576,13203,18578,6635,5975,1338,997,1335,2010
CA-06,326171,20595,19030,11718,8033,3899,3995,13092,20570,20739,19955,24789,25563,25656,22827,9573,14428,7252,7490,9660,6620,6031,5051,337446,22388,18088,12177,7203,3333,2497,10360,18087,18919,20946,23201,26119,27279,28589,9185,13907,8237,9681,11118,8545,9678,9451,663617,544952,15355,5268,32152,2415,40612,22863,522889,140728,546608,373970,161395,11243,117009,469146,54934,79342,143745,115331,75794,548915,74023,25638,5699,3490,302227,12090,9702,24456,165038,39681,9289,469146,52017,22742,10512,4437,63314,26442,8135,3526,78906,260652,13659,11900,10887,12792,9042,12419,9621,12878,9972,17279,26756,32022,23912,14856,16595,26062,64391,14395,38350,64946,103914,248390,449274,42267,478669,,,,,,,,188344,14298,10980,785,3063,285761,260652,25109,260652,158613,102039,158613,115330,43283,102039,1293,158613,695,545,325,747,264,682,345,1106,668,441,807,642,876,2952,1806,2520,2392,5188,7475,24102,20128,34965,24078,24864,2101,2010
CA-07,334237,21185,23062,14967,9152,4737,5856,15065,26987,25144,19591,24088,25922,22768,18975,9469,11341,6221,4993,8608,6135,3183,2591,333743,19908,19607,14279,7582,4083,3349,16957,22469,23252,22607,22476,27014,25095,21646,8576,12331,4923,6769,9432,7991,5720,5934,667980,373572,106175,3011,97643,3750,46932,36897,471111,196869,497958,370994,116404,10560,170022,442251,69253,108476,156623,72196,35703,551466,76276,21097,6767,4750,287903,17706,3926,10561,176222,41188,6309,442251,31839,11110,4123,2208,40357,12250,4198,1814,86451,221966,11988,10278,8651,10183,9093,9166,9832,9953,9307,19187,24730,30428,21651,13307,14472,9740,61315,14536,38284,61975,93076,177320,274709,44233,463015,,,,,,,,189746,18555,19897,188,4475,244859,221966,22893,221966,133741,88225,133741,104008,29733,88225,1189,133741,573,268,168,594,919,553,147,1419,413,1096,1319,1392,1637,5764,4496,8264,6755,17644,17678,29434,14852,14353,1862,2141,1816,2010
CA-08,339308,11564,9734,6768,5639,2732,2995,17323,38530,37744,33075,30465,24307,25006,19908,8296,12117,4294,5547,10710,7382,4926,4892,327941,11055,10149,7543,7462,4578,4104,18997,38826,33876,26971,22945,20901,20476,18527,8661,10812,5254,6532,10937,10035,7289,8193,667249,345990,46692,3535,213292,3030,32477,22233,557670,109579,428182,245486,167840,14856,239067,517434,73776,75026,106643,163882,98107,551256,64511,23863,12219,9647,371130,130227,38390,25335,138717,51169,22089,517434,85737,32161,14487,6008,78145,30309,10914,4228,86732,286190,21052,19228,11720,14528,10901,9359,6997,10550,7080,17405,20625,33866,27570,19025,24810,31474,69926,10865,35037,69436,115075,268849,488801,25767,555497,,,,,,,,263653,8160,12857,442,4038,322801,286190,36611,286190,92419,193771,92419,65919,26500,193771,1356,,,,,,,,,,,,,,,,,,,,,,,,,,2419,2010
CA-09,318722,18644,17786,12463,12130,4425,6912,14707,25010,25957,24743,23624,21301,20850,18707,8514,8762,5244,6288,8949,5608,3525,4641,331266,18186,16198,11117,12167,6981,5096,15116,27332,26421,25116,21064,21873,20655,21366,7607,11234,4955,7461,9299,7132,6631,9018,649988,308802,129200,2820,121394,4125,51604,32043,508230,141758,477596,327658,141514,8424,172392,438887,70516,71700,107009,103730,85932,522482,73380,29848,8042,9276,285798,44826,14394,24597,183815,59158,20599,438887,47685,22789,8918,9488,56045,30230,7887,6620,122618,250509,20892,17703,13424,12914,10581,10510,9365,10578,10499,18101,23476,26800,18546,12486,14058,20576,53286,10110,29813,54364,90975,215690,364141,26433,489505,,,,,,,,189434,11493,13509,380,3464,278229,250509,27720,250509,110348,140161,110348,83713,26635,140161,1097,110348,488,46,46,211,209,245,54,217,108,248,263,195,482,2235,2035,2790,2575,5052,6681,16509,13473,29861,15118,11207,2122,2010
CA-10,344088,25851,25291,15076,9489,3605,4144,13312,18853,18931,25476,26553,27756,27573,22467,7478,10904,5847,7673,8285,5851,5928,4787,367869,25985,25766,15171,9660,3425,4572,10415,22151,20564,26337,25460,28094,30377,25014,6805,11975,7115,8132,12284,9299,8295,8879,711957,460354,50747,3064,103746,5071,51453,37522,556036,155921,560624,399206,149124,12294,151333,475143,45118,89944,147698,123480,68903,590346,76629,27547,5650,4356,321011,25400,4660,20076,198545,43130,8680,475143,57330,21884,7967,7220,66150,23149,5568,3115,56312,255384,9921,8840,7939,9471,10630,7096,9038,9617,9657,18720,26042,32672,26898,18829,25552,24462,75457,18093,46710,76169,117984,227673,352464,47146,484378,,,,,,,,219116,15373,15708,798,3292,277736,255384,22352,255384,170271,85113,170271,131490,38781,85113,1311,170271,474,74,687,711,584,593,456,592,567,312,794,567,678,4123,4827,8275,7484,13679,12422,22571,17581,34138,21177,16905,2130,2010
CA-11,387116,32445,31881,19037,12491,5523,5734,12516,21758,22163,24567,28904,30494,29622,24147,7356,12098,5711,8491,9348,6155,5545,3890,403610,27443,33671,19985,9307,5263,2830,12500,24146,25518,28895,29909,32763,26588,24970,8914,11956,8345,8649,11284,8421,6727,8529,790726,537685,36460,6393,118042,2973,42012,47161,584358,206368,636334,487567,138468,10299,154392,505863,67582,105105,166554,107225,59397,643804,94182,34009,6299,2349,326979,10731,6564,20926,231273,43356,7625,505863,51168,21617,6111,3869,56057,19686,5282,2832,86090,264398,10447,7521,9674,10529,10340,13616,9999,9778,10397,18176,26458,34044,25301,18987,24221,24910,72075,18102,43425,72614,113933,236545,398730,49149,522709,,,,,,,,228850,14734,18058,1063,4592,280391,264398,15993,264398,173949,90449,173949,141551,32398,90449,1213,173949,922,484,700,344,621,346,178,477,1100,537,1238,1585,1396,5562,5662,7591,8303,18882,15762,25716,12979,30442,19720,13402,2192,2010
CA-12,321551,20313,18921,11440,8245,3177,4909,13859,23746,21778,22507,25979,25888,22489,21910,8666,10242,4403,6350,10429,6764,4585,6867,334427,17846,16070,10413,6515,2805,3094,10435,22651,22644,26746,25211,25652,24796,23637,8552,12852,6142,10306,10252,9853,8325,10733,655978,345456,11607,2524,216821,5132,36845,37593,529930,126048,417642,309857,96511,11274,238336,470955,52366,77281,132758,130312,78238,568873,44611,26901,4744,4498,322890,43309,10879,14348,164883,45830,12194,470955,58562,22860,9148,7894,71750,25774,7735,4827,45931,236813,7537,7197,7732,7635,7581,7589,8260,6278,8196,15012,23354,31944,27420,18181,24383,28514,82337,19941,51700,83684,126941,255974,414696,28651,495276,,,,,,,,230484,13923,12998,551,3956,249253,236813,12440,236813,143731,93082,143731,104085,39646,93082,1498,143731,538,186,228,0,71,34,98,346,574,358,271,300,445,1020,417,642,656,1232,2646,6520,10018,50170,36831,30130,2448,2010
CA-13,325359,23195,23609,13319,7040,5483,4311,11826,24257,24353,26040,21886,25639,24130,19048,7439,9717,4481,4774,7364,5008,4179,3732,342481,23699,19991,11921,7639,4715,3564,11704,24464,26143,25962,27355,26077,26624,20029,9466,10410,6205,6311,8312,6429,6804,6854,667840,243452,49468,4387,243891,7781,73988,44873,500513,167327,419976,328057,81870,10049,247864,449492,63847,110480,113535,104845,56785,572973,62144,15769,6317,4822,299030,22557,5122,11581,176132,39700,7998,449492,47844,21983,3003,4578,57001,21725,3557,1939,69804,218034,7919,8344,7261,9496,7473,7590,8462,9244,7624,13480,24289,30083,26269,14427,20180,15893,73539,17685,45037,74133,110711,202897,304407,28765,476465,,,,,,,,215780,14594,19760,744,4997,231133,218034,13099,218034,130603,87431,130603,98770,31833,87431,1272,130603,453,258,0,220,400,240,398,534,891,526,479,287,454,657,922,1398,1508,6207,7808,27175,21631,38314,12859,6984,2168,2010
CA-14,328913,17978,20697,12348,7552,3502,3839,10854,22993,23910,27834,25540,25213,24563,21710,7364,11003,5110,7700,9687,6812,5755,4021,325741,21578,20186,11626,7622,4293,3211,10810,21045,23113,20687,25599,24123,25687,19281,8295,10309,5313,7939,10659,7880,6283,9158,654654,428779,15877,1994,141962,8096,34416,23530,519414,135240,444627,288950,144328,11349,210027,454586,39803,56771,98697,126352,132963,537910,61011,25520,12434,9653,309114,10338,8933,21313,175665,41000,15855,454586,60153,44124,11380,17824,66199,42421,8833,8381,45302,243771,9014,6738,5463,7460,7686,7713,6877,7624,7974,13309,19038,28093,26450,17682,30727,41923,94740,20421,54662,94730,148644,332555,605395,31213,474870,,,,,,,,215917,9443,9468,249,3744,260967,243771,17196,243771,140690,103081,140690,100400,40290,103081,1410,140690,355,405,802,234,216,252,93,178,827,396,421,905,557,1346,556,1180,300,1299,1951,7397,9223,28574,29469,53754,2498,2010
CA-15,345043,23275,24318,13182,9025,4195,4641,13398,26265,27644,28398,25833,27581,25921,20552,6764,9371,4031,5984,7547,5962,4889,3282,343207,22891,21622,13351,7778,2417,2825,13137,23673,26957,28994,26423,27166,24314,21607,7674,9225,5186,6005,7961,7607,6305,7064,688250,324263,18469,3005,253987,1702,58101,28723,546505,141745,428326,317321,102569,8436,259924,466185,48178,73840,124192,129336,90639,561052,80606,20060,8061,10664,318136,6892,4934,14995,193203,47115,11947,466185,60863,37719,5626,8564,68473,30158,6138,2434,64687,235179,11311,7100,7822,7760,7357,7072,8053,8145,7091,11925,20362,28584,26767,20864,24622,30344,85700,17357,49676,86107,131528,238957,349709,27572,496029,,,,,,,,226197,10900,13236,987,4261,248074,235179,12895,235179,131375,103804,131375,98467,32908,103804,1447,131375,243,400,166,225,207,45,52,274,787,247,743,526,159,584,431,535,1178,2203,2364,7976,18346,50107,25738,17839,2500,2010
CA-16,335525,23204,22437,13886,9652,5624,5167,16476,25583,26320,25902,25928,27265,22276,15298,6799,8580,3308,6588,6642,4276,4607,3586,332596,23356,20843,13272,9271,5890,3617,13801,25238,24930,23256,24719,24583,21571,18232,6637,9617,5793,7324,9435,7775,4053,5548,668121,317298,21324,6071,192797,2937,96505,31189,396389,271732,418044,331222,78876,7946,250077,431669,93160,85874,109745,93322,49568,551025,80435,13698,5112,6357,293375,10109,4426,12273,188905,50298,8203,431669,44796,19596,3723,3438,48526,17809,3724,1278,86630,202905,10134,7628,8704,9247,6621,6962,7847,8493,7550,11840,17826,25942,21338,15700,20011,17062,73973,15563,41942,73253,114728,221347,349792,25492,475675,,,,,,,,198120,14048,15910,726,5405,212750,202905,9845,202905,119832,83073,119832,92563,27269,83073,1333,119832,870,211,476,492,329,178,347,1051,916,682,558,1272,757,1436,844,1286,1750,5065,4736,17163,18245,36028,15324,9816,2331,2010
CA-17,337316,24246,23177,15631,13285,7447,6968,16923,25133,23989,24204,20941,22438,21716,18715,7175,10867,4729,5172,7737,5402,3599,3954,327146,21146,22853,13593,13819,4408,5837,13980,23998,21902,21779,19349,21414,21924,20139,7060,9680,4705,5739,9298,8303,6265,6912,664462,517275,13759,8726,36662,2721,62131,23188,331114,333348,483216,360925,112309,9982,181246,414238,105877,80985,124510,64363,38503,547449,63696,29161,10795,4881,284417,6156,11299,16293,198187,56670,9210,414238,29941,12573,3702,2360,34422,15570,2445,1853,106139,207745,11760,10552,11189,11110,8884,10569,9345,12077,8645,18385,21159,25601,18086,11288,9114,9981,55026,13229,33832,55204,85826,177741,297544,34002,456113,,,,,,,,162579,17611,15407,2409,3701,232224,207745,24479,207745,108213,99532,108213,77152,31061,99532,1193,108213,773,590,317,428,71,253,445,162,1243,145,822,335,766,3321,2370,2903,2707,9190,8197,17758,10635,23690,12198,8894,1760,2010
CA-18,369584,32716,30998,21519,13388,7670,5819,17116,28204,27258,23411,23296,22692,21605,19130,5295,7974,4907,5422,7401,6155,3906,2368,356620,30615,30712,16947,12427,4766,6818,16897,27296,22822,23952,20641,22306,21743,18051,6657,8445,5190,5551,7115,5706,5381,6745,726204,489274,40647,9748,67647,2338,89024,27526,343163,383041,540980,451358,77415,12207,185224,416625,135903,113390,121898,30833,14601,568304,112507,25932,4772,3415,249279,2202,4873,11349,224036,42804,2760,416625,14082,4312,2033,876,16751,4466,2173,741,186028,211216,18085,19191,15053,14985,11832,13544,14502,9119,11046,16060,19280,23700,11763,4849,4419,3788,39297,9768,23917,39899,63527,132829,231958,30771,470401,,,,,,,,152944,24341,25519,1743,6168,237826,211216,26610,211216,110449,100767,110449,80432,30017,100767,889,110449,2050,795,1060,495,732,263,354,2157,3277,3471,4333,6239,5322,14433,13587,13741,7360,10445,5521,6887,2235,3204,1043,1445,1195,2010
CA-19,366673,26718,26564,17459,12800,6336,5616,15400,28314,21741,22915,24372,24652,25291,22137,8346,10087,6270,7967,9268,8413,4970,4402,392786,26454,26920,16870,11398,7074,6137,14320,25759,25706,22471,26263,27706,26769,25729,8605,12276,8246,9051,10970,9757,7136,8426,759459,600929,27653,6722,40574,2520,45204,35857,472581,286878,634499,502407,123678,8414,124960,484015,97297,120529,162998,69548,33643,623947,87659,29529,5590,2684,289884,3427,6174,14288,214676,52670,8334,484015,30850,9970,5005,2152,38698,11936,3351,1229,132882,253923,17001,14160,16346,14543,12332,14019,12354,11456,10059,22771,26786,31248,22688,11879,8677,7604,51553,11880,30396,51363,79415,160239,273181,46002,516780,,,,,,,,199131,19693,23300,1395,5185,287267,253923,33344,253923,158996,94927,158996,117495,41501,94927,936,158996,2078,2017,726,1155,966,493,321,898,978,1698,1325,2332,2295,9600,9944,18398,13356,25818,20295,21268,9047,8233,3315,2440,1392,2010
CA-20,398290,31978,31985,20937,16547,6989,8332,21521,34669,30221,28810,27281,25169,22835,16760,6561,6872,4100,3647,5952,4136,3066,3071,344780,32936,31563,19724,11082,5651,6067,17581,24860,22427,24331,19639,20041,20884,14767,5140,7127,3306,5854,5543,4477,4280,4401,743070,448000,49300,7887,43832,1247,168460,24344,232098,510972,516962,439298,71608,6056,226108,410227,180392,99463,97974,23903,8495,603375,98222,22299,6271,2772,234739,3682,5300,7516,220577,34353,2317,410227,11318,2838,810,417,12585,3468,860,102,234240,188924,21467,18074,15258,17127,15074,10972,10189,10847,8819,14401,17896,12720,8539,3061,3400,1080,33089,7976,20227,33306,53229,106852,167025,27073,472907,,,,,,,,,,,,,204783,188924,15859,188924,85842,103082,85842,63423,22419,103082,743,85842,283,515,977,397,369,1083,275,1940,1735,3857,4283,5103,3769,12373,7903,11663,7031,8340,4658,5081,1693,1634,216,664,1006,2010
CA-21,397830,34459,36865,22259,12878,6475,6477,17731,28577,27357,24724,23679,25217,22369,21792,6716,9460,6066,6331,7714,5350,5879,3851,396809,33130,33167,21985,13575,6725,5466,15703,27718,25557,25591,22677,25125,23095,21689,6251,11250,6105,6981,10042,8043,7323,7503,794639,560688,19463,9829,52823,234,120937,30665,380550,414089,627589,522411,101001,4177,167050,460032,123188,105669,148319,54759,28097,666552,89699,18698,3667,3754,300869,2184,7883,11571,248706,46835,5844,460032,24923,8729,4701,1693,29836,9537,2286,1151,174530,236975,17885,14594,16906,13470,14533,12714,10905,10911,9030,20039,24142,27203,18846,10653,9017,6127,48113,11087,27755,48177,75969,153565,249950,38069,506359,,,,,,,,197207,30716,21410,2550,5257,263717,236975,26742,236975,142701,94274,142701,103881,38820,94274,824,142701,1137,1271,1593,652,350,363,726,774,1322,1596,3131,3714,3827,11777,10340,17231,10346,21367,14762,17544,9862,5752,1635,1629,1222,2010
CA-22,411406,29676,32011,21563,15061,5771,7032,17239,28458,31049,25290,27237,29092,27982,25114,8269,11179,5458,8506,10079,7472,4737,2800,390011,27238,26752,19057,12902,6039,4847,15702,27479,25879,23027,24683,28427,25818,23996,7843,12020,6706,8520,11021,9518,5869,6778,801417,594898,55723,8381,30051,750,78619,32995,544944,256473,700242,532561,161054,6627,101175,500306,88061,129328,180032,64545,38340,634465,108547,32420,11139,3732,313599,3034,7420,12117,234083,55392,8095,500306,32314,13058,3886,3354,32231,12659,4340,1043,121105,266344,16537,16434,13160,14162,12286,13267,13497,13151,11203,20852,27255,33675,24479,16335,11291,8760,53626,12274,32284,54244,85375,169766,285487,58476,524805,,,,,,,,215782,27307,19428,637,3104,305806,266344,39462,266344,167262,99082,167262,122083,45179,99082,905,167262,2532,1282,1250,574,1439,599,433,1945,2175,2784,4119,4179,3644,10611,12950,18447,14101,21599,15043,19895,9899,10452,4282,3028,1348,2010
CA-23,347437,24833,20000,13320,14800,13771,12649,17584,29665,22605,21866,18575,20913,21513,18876,7866,8967,5013,6325,8115,6829,5441,4710,348836,22736,18913,13326,15260,7333,9728,17147,25394,22552,20958,18706,24122,22872,20124,6722,10974,6672,7147,9190,9023,7635,7828,696273,540759,14980,5155,40491,390,73721,20777,353406,342867,516222,381183,126264,8775,180051,427198,107202,77472,125376,69707,47441,541428,101158,29887,9455,6141,305934,8350,12779,17048,206086,74440,5806,427198,30251,14185,5176,5421,39456,15920,3984,2755,125602,223890,14318,13713,11249,13712,10230,11343,9568,9884,9484,17963,23003,26425,18437,10735,13084,10742,54049,11993,31602,54458,85687,194570,349398,37684,494169,,,,,,,,185765,21688,17188,3117,5634,247572,223890,23682,223890,114487,109403,114487,79668,34819,109403,1234,114487,608,478,251,1093,341,97,241,1047,645,747,741,985,706,2431,1459,3222,3626,8127,10721,18494,11243,20016,13418,13750,1711,2010
CA-24,341688,24462,25163,17487,10345,4458,4469,11804,20889,20327,21746,24307,27008,26633,21183,8926,10624,7479,7116,7613,8379,4486,4508,345420,26578,22007,15491,9332,4561,4715,11838,18984,19337,22078,25318,25170,26558,21629,9957,12190,6651,7940,10081,8741,7326,9449,687108,520472,9689,6934,44085,1033,77387,27508,484491,202617,565431,397020,159081,9330,121677,452633,51229,87837,158632,96946,57989,579336,64244,21428,11213,4930,314175,4602,7266,18987,195529,42813,8537,452633,46620,21379,6335,4361,50326,19809,4136,1969,60532,235960,8993,8491,8840,9044,7728,8427,9344,9824,8182,16085,24289,31285,27085,16679,19279,22385,74103,17776,45307,74872,113353,235711,397876,50818,460478,,,,,,,,212465,17649,11988,853,2290,249709,235960,13749,235960,158418,77542,158418,119071,39347,77542,1431,158418,375,455,353,349,458,311,706,1386,666,1146,666,962,703,1633,1066,2300,2288,6503,7859,28997,27904,44706,15316,11310,2059,2010
CA-25,417487,33887,36210,21095,14137,7279,8745,19899,28419,26493,25604,31563,31017,31800,21518,6853,10766,4186,6820,8400,5739,3811,2145,416059,34311,33862,24053,15511,6939,5265,15977,24554,23483,26354,32468,32980,30347,21328,9414,9721,5930,9106,9460,7351,4532,4251,833546,527663,80907,7518,52391,3847,119419,41801,517833,315713,675469,506172,156962,12335,158077,496413,95472,119774,177364,70602,33201,690430,102949,12939,11918,4914,322900,9476,5352,16270,271536,64843,9182,496413,32991,11901,3648,2108,37611,12121,2047,1376,127637,252586,14801,13192,12688,14553,11279,10980,11974,10850,8443,20241,27032,35772,24587,12364,14195,9635,57862,12962,33798,58579,88461,167280,260017,51407,534316,,,,,,,,216621,22067,23970,587,4335,289370,252586,36784,252586,169257,83329,169257,135992,33265,83329,1140,169257,1794,1350,1317,1239,1380,1639,879,1527,1629,3667,3484,4326,4106,9982,11715,17763,9621,15636,11078,26575,17070,16926,3063,1491,1664,2010
CA-26,342298,22822,27807,19578,8912,5990,5074,13000,24580,18010,23910,23326,24116,26974,23036,7753,11275,6303,7134,7255,6661,4988,4336,359893,21263,23321,15485,9674,5250,5143,13425,20619,21213,24992,27194,27927,29511,23158,9946,12836,6504,8346,10247,7789,7396,7050,702191,425973,34545,4117,133660,411,70167,33318,492180,210011,522387,394120,117001,11266,179804,464385,48789,92736,152794,102610,67456,602867,57551,25481,6361,4561,313626,10299,6045,13582,209792,55758,10999,464385,49282,19532,8533,6595,53328,22853,6238,3705,61016,228846,8942,7642,7332,8809,8513,8809,7185,7911,8881,16699,23528,33648,26242,16276,19298,19131,75086,17737,46396,74626,110600,230354,394767,35145,495708,,,,,,,,219857,13491,14647,355,3604,243006,228846,14160,228846,150312,78534,150312,114421,35891,78534,1271,150312,775,449,172,691,299,916,362,645,1456,1105,701,662,194,798,1767,2128,2767,7280,10033,24862,25961,35134,16887,14268,2081,2010
CA-27,337192,22539,21814,13113,9728,5633,4562,15922,30038,23997,24565,26723,25313,22512,18700,7248,9401,5941,6461,8021,6081,4272,3569,357492,22392,19722,13320,7604,5807,5223,15109,26034,25515,28520,25197,25805,25146,21093,8103,11001,6801,9947,9998,7881,6696,8557,694684,432141,32848,1648,91132,1719,111041,24155,408395,286289,424253,320359,98017,5877,270431,469136,87079,99506,141021,98846,42684,576728,93071,7405,6042,4315,318800,15714,7198,15760,189314,53332,8546,469136,46608,12007,4720,2746,52238,17748,4253,1210,105247,233534,14745,13276,11083,11656,10620,10641,10144,11558,10227,17627,23846,29536,20996,13184,13948,10447,56836,12156,33739,56928,89368,177245,281511,23180,515544,,,,,,,,216921,17816,17367,521,5485,250448,233534,16914,233534,122942,110592,122942,97817,25125,110592,1192,122942,303,69,284,704,310,316,362,665,309,264,315,209,48,1509,1484,1635,979,6018,10468,32413,24112,29593,7627,2946,2126,2010
